,Job_Title,Company_Name,Job_Location,Required_Experience,Full_Job_Description
0,FinTech Data Engineer,Acesoft Labs (India) Pvt Ltd,Dubai - United Arab Emirates (UAE),4 - 8 Years,"Develop scalable data pipelines for financial data, ensuring data quality and governance using Python, SQL, and ETL tools."
1,Data Engineer,Dicetek LLC,Abu Dhabi - United Arab Emirates (UAE),5 - 8 Years,"Develop scalable ETL/ELT pipelines and data integration solutions using cloud technologies, supporting AI/ML workloads and ensuring data quality."
2,Data Engineer,Acesoft Labs (India) Pvt Ltd,Dubai - United Arab Emirates (UAE),4 - 9 Years,"Seeking a Data Engineer skilled in PySpark, SQL, and Databricks to develop scalable data pipelines and optimize data processing solutions."
3,Data Engineer,Confidential Company,"Wakra , Doha - Qatar",5 - 10 Years,"Design, develop, and maintain data ingestion, transformation, and orchestration pipelines using Microsoft Fabric and Azure Data Factory (ADF). Build and manage ETL/ELT processes..."
4,Senior Data Engineer (Arabic Speaker),Dicetek LLC,Dubai - United Arab Emirates (UAE),10 - 15 Years,"Design and maintain data pipelines, optimize ETL processes, and implement data warehousing solutions; requires expertise in data transformation, orchestration, and NoSQL databases."
5,Data Engineer/Test,Confidential Company,Abu Dhabi - United Arab Emirates (UAE),5 - 10 Years,"Design and maintain data pipelines, implement automated testing for data quality, and optimize data warehouse performance; requires proficiency in SQL and programming skills."
6,Senior Data Engineer (Investment Data),Luxoft,Abu Dhabi - United Arab Emirates,5 - 10 Years,"Seeking a Data Engineer to design and optimize data pipelines using PySpark and Databricks, with strong data governance and production experience."
7,Senior Data Engineer,Luxoft,Abu Dhabi - United Arab Emirates,7 - 30 Years,"Develop and operate Databricks/Spark pipelines, ensure data quality, manage schema evolution, and possess expertise in Azure services and data engineering."
8,Senior Data Engineer,Iitjobs Inc.,Muscat - Oman,7 - 12 Years,"Seeking a skilled professional with expertise in SQL Server Integration Services, ETL development, and data migration to drive innovation and business growth."
9,Senior Data Engineer,Iitjobs Inc.,Muscat - Oman,7 - 10 Years,"Design and develop SSIS packages and ETL workflows, requiring strong SQL Server Integration Services, T-SQL, and data migration skills."
10,Senior Data Engineer (Flink),SSC Egypt,Cairo - Egypt,3 - 8 Years,"Build and manage real-time streaming pipelines using Apache Flink, Kafka, and data modeling for analytics, ensuring low latency and job recovery."
11,Senior Consultant - Data Engineering,MAIR GROUP - P.J.S.C,Abu Dhabi - United Arab Emirates (UAE),5 - 10 Years,"Design and implement scalable data platforms on Snowflake for retail analytics Build and optimize ELT pipelines for retail data (POS, e-commerce, CRM, inventory, supply chain) L..."
12,"Manager - Model Implementation, Data Engineering and IFRS9 Risk Data",Nair Systems LLC,"Abu Dhabi , Dubai , Al Ain - United Arab Emirates (UAE)",6 - 12 Years,"Lead the design and implementation of ETL pipelines and credit risk data management for IFRS9 compliance, utilizing SQL and Python in a banking environment."
13,Data Engineer,Al Gurg Group,Dubai - United Arab Emirates (UAE),5 - 8 Years,"The role involves preparing enterprise data for AI use cases, ensuring data quality, governance, and collaboration with engineering teams on data pipelines."
14,Snowflake Data Engineer,Applycup Solutions (Client Confidential),Dubai - United Arab Emirates (UAE),8 - 15 Years,"Design, develop, and maintain scalable data pipelines using Snowflake. Build and optimize ELT workflows using dbt. Develop and orchestrate data pipelines using Apache Airflow. D..."
15,Snowflake Data Engineer,Applycup Solutions (Client Confidential),Dubai - United Arab Emirates (UAE),8 - 15 Years,"Design, develop, and maintain scalable data pipelines using Snowflake. Build and optimize ELT workflows using dbt. Develop and orchestrate data pipelines using Apache Airflow. D..."
16,Data Engineer,Dicetek LLC,Dubai - United Arab Emirates (UAE),4 - 8 Years,"Design and implement data pipelines, optimize ETL processes, ensure data quality, and collaborate with teams using SQL and cloud technologies."
17,Data Engineer,CME,Beirut - Lebanon,5 - 10 Years,"Build resilient data pipelines, manage storage formats, and ensure data quality while collaborating with stakeholders; requires strong SQL, Python, and data engineering skills."
18,Senior Data Engineer,Big Data Technology Solutions,Dubai - United Arab Emirates,5 - 10 Years,"Seeking a skilled Data Engineer for technical support of enterprise data platforms, focusing on ETL, data quality, and governance."
19,Pyspark Data Engineer,Clover Infotech,Dubai - United Arab Emirates,1 - 5 Years,"Design, develop, and maintain scalable data pipelines using PySpark on Cloudera Data Platform, ensuring data quality and implementing best practices."
20,Lead Data Engineer,Coforge,Dubai - United Arab Emirates,5 - 10 Years,"Design, develop, and maintain scalable data pipelines and solutions, ensuring data quality and collaborating with teams on data engineering best practices."
21,Senior Data Engineer,Future Look ITC,Riyadh - Saudi Arabia,1 - 6 Years,Design and build scalable data pipelines and infrastructure for artificial intelligence models and analytics platforms as a Senior Data Engineer.
22,Senior Data Engineer,Client of Salt,Abu Dhabi - United Arab Emirates,5 - 10 Years,"Build scalable data pipelines and products using Python, SQL, and cloud platforms, ensuring data quality and supporting AI workloads."
23,Data Engineer BigQuery / SQL / Python / GCP,ALTEN,Morocco - Morocco,3 - 5 Years,"Design and develop data pipelines, optimize SQL and BigQuery, ensure data quality, and collaborate with teams using Python and GCP."
